SystematicID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
SPBC713.02c,172.1062833,-3.377402861,0.317685766,-10.63126909,2.13E-26,3.91E-24
SPBC725.07,100.500429,-2.499942662,0.352473495,-7.092569221,1.32E-12,3.25E-11
SPBC776.15c,42.56694811,-5.414006279,0.824978401,-6.562603663,5.29E-11,9.10E-10
SPBC83.16c,63.01754801,-7.340009614,1.105583538,-6.639036638,3.16E-11,5.69E-10
SPBC839.13c,21.54261826,-3.720099755,0.87074896,-4.27229882,1.93E-05,8.91E-05
SPBC887.05c,45.03433955,-4.487207507,0.646871387,-6.936784652,4.01E-12,8.86E-11
SPBC947.02,56.36219235,-4.058022332,1.081821111,-3.751102924,0.000176058,0.000631822
SPBC947.08c,28.34256569,-5.373948501,1.04312154,-5.151795161,2.58E-07,1.80E-06
SPBC9B6.07,26.14724324,-7.894992598,1.392355782,-5.670240823,1.43E-08,1.34E-07
SPBP16F5.03c,48.66356732,-3.719070096,0.67696255,-5.493760471,3.93E-08,3.29E-07
SPBP16F5.05c,44.01860027,-4.368218074,0.642680909,-6.796869192,1.07E-11,2.13E-10
SPBP16F5.08c,136.1693368,-2.494575098,0.423433448,-5.891303837,3.83E-09,4.25E-08
SPBP22H7.08,10.86408678,-5.692096847,1.653987571,-3.441438708,0.00057863,0.001828023
SPBP23A10.05,20.66898509,-3.478175895,1.134763052,-3.065112043,0.002175885,0.005783175
SPBP23A10.14c,39.82040194,-4.245098053,0.836999127,-5.071807026,3.94E-07,2.66E-06
SPBP35G2.05c,115.3540381,-2.199961369,0.291214289,-7.554441693,4.21E-14,1.46E-12
SPBP35G2.07,37.47477725,-3.665600646,0.671409753,-5.459558232,4.77E-08,3.90E-07
SPBP4H10.03,13.74429755,-4.319757521,1.249422392,-3.457403636,0.000545407,0.001730085
SPBP8B7.18c,75.66226595,-2.799441366,0.474977456,-5.893840504,3.77E-09,4.20E-08
SPBP8B7.22,28.02159834,-4.724852839,0.897853802,-5.262385513,1.42E-07,1.03E-06
SPBPB7E8.02,97.15013191,-4.081793168,0.622192767,-6.560335297,5.37E-11,9.19E-10
SPCC1020.11c,69.80768839,-2.361232099,0.386889572,-6.103116417,1.04E-09,1.37E-08
SPCC1223.05c,19.88000949,-3.81285074,1.082248203,-3.523083456,0.000426557,0.001403089
SPCC1259.02c,33.49366718,-5.301760027,0.928338677,-5.711019221,1.12E-08,1.09E-07
SPCC1259.03,22.55922999,-3.013823384,0.80211367,-3.757351977,0.000171721,0.00061768
SPCC1259.04,22.41569726,-3.930210995,1.112114709,-3.533997855,0.000409324,0.001352116
SPCC1259.08,114.0552819,-2.199507407,0.332743154,-6.610225872,3.84E-11,6.87E-10
SPCC1259.09c,136.1395007,-3.069127493,0.418286352,-7.337383781,2.18E-13,6.46E-12
SPCC1259.11c,141.4176414,-3.277310616,0.312166384,-10.49860198,8.77E-26,1.52E-23
SPCC1259.12c,139.2755879,-3.304413824,0.38877949,-8.499455105,1.90E-17,1.12E-15
SPCC126.15c,40.71086693,-4.192365186,0.66918944,-6.264840618,3.73E-10,5.46E-09
SPCC1322.01,45.51195174,-4.503750106,0.652192122,-6.90555736,5.00E-12,1.04E-10
SPCC1322.08,64.1191452,-3.002670526,0.551711562,-5.442464386,5.25E-08,4.22E-07
SPCC1393.05,37.92756806,-2.244238054,0.678840905,-3.3059853,0.000946431,0.002815789
SPCC13B11.01,46.85446652,-3.843204687,0.59201695,-6.491713935,8.49E-11,1.39E-09
SPCC1442.14c,126.1656925,-4.606190621,0.405434694,-11.36111609,6.53E-30,2.26E-27
SPCC1450.02,80.08957082,-2.194846265,0.478923481,-4.582874614,4.59E-06,2.48E-05
SPCC1450.03,28.78991605,-5.2145624,0.937070113,-5.564751591,2.63E-08,2.30E-07
SPCC1450.05c,71.43514593,-2.749917807,0.388242318,-7.082993484,1.41E-12,3.43E-11
SPCC1494.10,106.8020304,-2.348902557,0.355479024,-6.60771071,3.90E-11,6.91E-10
SPCC162.04c,69.38306461,-5.910988725,0.707200858,-8.358288393,6.36E-17,3.48E-15
SPCC16A11.10c,52.18926806,-2.366611471,0.560820903,-4.219905961,2.44E-05,0.000109072
SPCC16C4.04,98.69221633,-2.984858944,0.400590546,-7.45114675,9.25E-14,2.97E-12
SPCC16C4.10,24.97507615,-3.927367618,0.993549548,-3.952865388,7.72E-05,0.000302788
SPCC16C4.20c,41.02105973,-3.887454189,0.641992382,-6.055296443,1.40E-09,1.77E-08
SPCC1739.14,30.07550495,-4.180673773,0.757503163,-5.51901824,3.41E-08,2.87E-07
SPCC1753.05,52.43669245,-3.470429898,0.497331338,-6.978104194,2.99E-12,6.80E-11
SPCC1795.10c,97.64320881,-2.810610419,0.49510886,-5.676752417,1.37E-08,1.30E-07
SPCC1840.09,38.78109412,-2.787294636,0.57226591,-4.870628476,1.11E-06,6.89E-06
