Gene,FC_2d,FC_21d
SPBC1861.02,1.255846,1.29927
SPAC16.01,1.238223,1.263796
SPBC30D10.10c,1.288416,1.200264
SPAC26A3.09c,1.275868,1.17659
SPAC17G6.05c,1.250501,1.156035
SPAC22E12.19,1.236932,1.190696
SPAC31A2.11c,1.230365,1.170237
SPBC557.04,1.198333,1.181378
SPAC27F1.09c,1.158332,1.205867
SPBC6B1.02,1.459298,1.585154
SPAC4G8.03c,1.429127,1.587142
SPAC7D4.12c,1.428466,1.562884
SPBC29A3.17,1.419908,1.686608
SPAC1039.05c,1.38569,1.65792
SPCC10H11.01,1.402678,1.601693
SPAC1F3.03,1.377583,1.62373
SPAC688.03c,1.350883,1.623784
SPBC947.15c,1.426208,1.468604
SPAC25B8.03,1.416979,1.462312
SPAC1F5.04c,1.436177,1.525824
SPAC9.03c,1.379941,1.510234
SPBC25B2.03,1.378375,1.531249
SPCC757.11c,1.352378,1.451666
SPAC23H3.13c,1.325794,1.439218
SPAC25G10.07c,1.352336,1.482219
SPBP8B7.32,1.317299,1.484729
SPAC4F10.16c,1.298058,1.454814
SPCC1020.13c,1.308113,1.554472
SPAC9G1.02,1.289737,1.498837
SPCC736.12c,1.275484,1.521562
SPBC16G5.06,1.273564,1.522709
SPAC227.15,1.255898,1.43753
SPAC15A10.16,1.262812,1.423514
SPBC28F2.12,1.252946,1.424886
SPCC126.07c,1.251362,1.417009
SPBC1105.11c,1.232146,1.417918
SPAC1952.04c,1.18968,1.413597
SPAC22E12.02,1.185878,1.421375
SPCC1795.02c,1.169683,1.399196
SPBC354.15,1.206985,1.530482
SPAC1F7.11c,1.202018,1.564017
SPBC354.13,1.161611,1.547529
SPAC6F6.12,1.218382,1.489144
SPCC895.08c,1.21474,1.477176
SPAC17C9.11c,1.188578,1.468729
SPAC25A8.02,1.1431,1.479477
SPBC36.01c,1.133212,1.493812
SPCC5E4.04,1.192048,1.331984
SPAC2G11.09,1.198994,1.281163
SPBC215.13,1.187145,1.305531
SPBC1289.01c,1.176307,1.296402
SPAC1687.08,1.161976,1.252866
SPBC216.03,1.136578,1.258383
SPBC1711.17,1.148617,1.318446
SPAC1039.07c,1.125784,1.299803
SPBC725.01,1.12399,1.317973
SPCC330.02,1.133561,1.366537
SPAC57A7.08,1.139154,1.352594
SPBC359.03c,1.125947,1.353934
SPCC584.01c,1.122749,1.385635
SPCC794.02,1.078325,1.39897
SPBC428.08c,1.063592,1.30362
SPBC21.06c,1.051599,1.339591
SPCC4G3.09c,1.045308,1.327112
SPCC162.04c,1.159355,1.669473
SPAC823.16c,1.154647,1.677443
SPAPB24D3.10c,1.111043,1.692053
SPAC1F12.05,1.091441,1.723092
SPAC14C4.03,1.086002,1.630134
SPCC330.11,1.091699,1.578748
SPBC11G11.01,1.074647,1.596338
SPBC211.07c,0.979865,1.583839
SPAPB18E9.02c,0.95613,1.613137
SPAC167.07c,0.939613,1.637602
SPAC1639.02c,1.456834,2.177918
SPBC21C3.20c,1.449756,2.183035
SPBC887.06c,1.318624,2.161448
SPAC1F7.09c,1.433764,1.983228
SPAC27E2.09,1.40631,2.006286
SPAC23A1.17,1.372214,2.01447
SPAC11D3.07c,1.417718,2.060508
SPAC15E1.10,1.384813,2.087022
SPBP8B7.24c,1.289232,1.999923
SPCC1906.04,1.282125,1.990405
SPCC622.11,1.232127,1.98313
SPAC22A12.06c,1.22193,1.987561
SPAC3G9.12,1.199525,2.176014
SPAC29E6.01,1.139654,2.150035
SPBC21D10.06c,1.12434,2.241368
SPAC1039.03,1.117923,2.06938
SPAC3C7.03c,1.437948,1.790305
SPAC1006.09,1.402525,1.791034
SPAC328.04,1.389966,1.824147
SPAC3A11.06,1.370028,1.712466
SPCC63.03,1.355744,1.762069
SPCC4G3.12c,1.393831,1.870378
SPAC16E8.01,1.373452,1.867254
SPAC3A11.10c,1.333625,1.857666
SPCC285.06c,1.31096,1.620353
SPCC285.09c,1.223595,1.609506
SPCC126.02c,1.221507,1.615292
SPCPJ732.02c,1.239673,1.74282
SPCC417.10,1.174386,1.881591
SPBC800.02,1.16272,1.856981
SPCC1827.08c,1.14532,1.873206
SPAC1002.12c,1.156306,1.920866
SPAC13G7.13c,1.140391,1.827494
SPAC1B3.15c,1.124004,1.786697
SPAC222.15,1.075855,1.845741
SPCC584.12,0.915843,2.143636
SPCC736.14,0.859537,2.126823
SPCC1494.10,0.853743,2.191126
SPBC3H7.08c,0.833693,2.169353
SPAC1A6.11,0.703894,2.153135
SPAC23H4.06,0.915232,1.871181
SPBC19C2.06c,0.814888,1.904231
