Gene,FC_2d,FC_21d
SPBC2D10.15c,-0.801403,-1.131807
SPAC20H4.03c,-0.80963,-1.121266
SPBC691.02c,-0.825236,-1.117786
SPAC8E11.02c,-0.82745,-1.092233
SPBC4F6.15c,-0.857286,-1.107481
SPCC16C4.18c,-0.796398,-1.002802
SPAC23H4.03c,-0.798484,-1.019417
SPAC12B10.10,-0.825652,-1.045115
SPBC2D10.11c,-0.837513,-1.044851
SPAC17G6.07c,-0.837644,-1.019287
SPAC11G7.05c,-0.862954,-1.071943
SPAC24H6.01c,-0.874214,-1.072689
SPAC29A4.03c,-0.886539,-1.054775
SPAC23H3.03c,-0.893556,-1.052559
SPBC16C6.08c,-0.882321,-1.010491
SPAC607.05,-0.897317,-1.02811
SPAC6C3.09,-0.899852,-1.019636
SPAC12G12.11c,-0.907469,-1.003241
SPBC29A3.07c,-0.919877,-1.055142
SPAC10F6.03c,-0.930888,-1.029513
SPCC1840.06,-0.94037,-1.104657
SPAC3A12.10,-0.956659,-1.089018
SPAC144.06,-0.959256,-1.068101
SPBC577.08c,-0.967775,-1.074613
SPBC725.15,-0.965926,-1.058445
SPBC2D10.10c,-0.849411,-1.167147
SPCC330.05c,-0.857652,-1.152672
SPAC6B12.11,-0.867528,-1.197077
SPBC337.13c,-0.881471,-1.157653
SPAC6F6.05,-0.898142,-1.14002
SPAC227.04,-0.902299,-1.141883
SPBC1289.07c,-0.894719,-1.197096
SPCC553.09c,-0.912605,-1.199161
SPAPB8E5.09,-0.922326,-1.179862
SPBC11G11.02c,-0.94069,-1.200009
SPCC4B3.16,-0.955713,-1.201683
SPBC1773.01,-0.970078,-1.195648
SPCC330.20,-0.937027,-1.138177
SPBC6B1.04,-0.970342,-1.15823
SPBC13G1.08c,-1.0019,-1.233373
SPBC28F2.06c,-0.995835,-1.185449
SPAC22H12.04c,-1.002878,-1.186116
SPCC663.04,-1.009933,-1.181732
SPAC13D6.03c,-1.01144,-1.191253
SPAC2C4.03c,-1.011941,-1.196399
SPAC6G10.08,-0.720843,-1.292038
SPCC1919.09,-0.722343,-1.304033
SPBC15D4.14,-0.710407,-1.344519
SPBC1D7.01,-0.711131,-1.353882
SPAC1486.06,-0.721532,-1.379887
SPAC1556.07,-0.731835,-1.399441
SPAC1071.03c,-0.754534,-1.386027
SPCC320.14,-0.78873,-1.248936
SPAC17D4.04,-0.795015,-1.297179
SPAC806.04c,-0.827893,-1.267708
SPBC29A3.15c,-0.823558,-1.290313
SPCC320.09,-0.838983,-1.292756
SPAC12G12.02,-0.815291,-1.207365
SPCC1672.10,-0.83099,-1.19076
SPBC2D10.08c,-0.816988,-1.229528
SPAC2C4.11c,-0.831932,-1.230221
SPAC1071.06,-0.849087,-1.225484
SPAC16C9.01c,-0.829644,-1.324805
SPAC25H1.07,-0.849602,-1.355711
SPAC1071.04c,-0.867749,-1.356728
SPAC17H9.08,-0.875743,-1.357038
SPCC306.06c,-0.869266,-1.305681
SPBC25D12.05,-0.884578,-1.322191
SPBC3E7.15c,-0.857129,-1.271796
SPAC7D4.06c,-0.892761,-1.281986
SPBC577.12,-0.931047,-1.364264
SPCC645.14c,-0.935559,-1.353478
SPAC1782.05,-0.943571,-1.355163
SPBC3B9.21,-0.943216,-1.317344
SPAC1002.11,-0.92119,-1.395326
SPAC32A11.04c,-0.960803,-1.409862
SPAC16C9.07,-0.920629,-1.235361
SPBC336.01,-0.933176,-1.222175
SPCC736.03c,-0.936317,-1.237181
SPBC3H7.10,-0.941993,-1.245438
SPCC14G10.01,-0.953561,-1.251063
SPBC18H10.15,-0.955288,-1.257068
SPBC2G2.11,-0.959997,-1.266418
SPBC18E5.12c,-0.971956,-1.268176
SPAC19G12.11,-0.978824,-1.265952
SPBC16A3.15c,-0.982905,-1.278067
SPAC8C9.11,-0.987942,-1.266311
SPAC17A2.04c,-0.99203,-1.259712
SPCC18B5.09c,-0.986789,-1.297703
SPCC576.07,-1.000358,-1.295251
SPAC6G9.01c,-1.021335,-1.130066
SPBC887.04c,-1.014385,-1.057414
SPAC4H3.12c,-1.036668,-1.044868
SPBC2G5.06c,-1.076811,-1.058299
SPAC12G12.01c,-1.087321,-1.083495
SPBC17A3.02,-1.114134,-1.095007
SPCC1223.04c,-1.098133,-1.068215
SPBC12C2.09c,-1.114714,-1.076044
SPBC27.08c,-1.106234,-1.04807
SPBC28F2.10c,-1.119844,-1.058103
SPBC1604.11,-1.124529,-1.062003
SPBC365.06,-1.014134,-0.962402
SPCC830.10,-1.040395,-0.962705
SPAC1142.06,-1.046205,-0.978962
SPAC23C4.14,-1.041848,-0.943256
SPAC16.03c,-1.050214,-0.924101
SPCC663.05c,-1.061986,-0.941535
SPAC29A4.14c,-1.071059,-0.951981
SPAC6F6.07c,-1.076695,-0.923966
SPCC285.12,-1.083484,-0.93284
SPAC30C2.06c,-1.091553,-0.919534
SPAC6F6.10c,-1.041832,-0.88765
SPAC4D7.07c,-1.059814,-0.865507
SPBC17G9.10,-1.080798,-0.896015
SPAC1D4.06c,-1.090382,-0.888812
SPAC15E1.03,-1.094332,-0.873649
SPBC16H5.05c,-1.110377,-0.901613
SPBC4B4.09,-1.103053,-0.953271
SPAC20H4.07,-1.124469,-0.964635
SPCC1682.10,-1.093495,-1.011367
SPCC338.03c,-1.111534,-1.018242
SPAC11G7.04,-1.117649,-1.022929
SPAC7D4.10,-1.13685,-1.004629
SPAC1952.10c,-1.138749,-1.012886
SPBC16G5.17,-1.164883,-0.904251
SPBC1271.03c,-1.166746,-0.935934
SPAC5H10.03,-1.169366,-0.965436
SPAC13G6.11c,-1.168205,-0.982753
SPAC3F10.02c,-1.184245,-0.9885
SPAC16A10.04,-1.185089,-0.983994
SPAC57A10.07,-1.216886,-0.967507
SPCC24B10.11c,-1.175852,-1.049273
SPAC513.05,-1.188128,-1.044229
SPBC19G7.14c,-1.20093,-1.024789
SPAC17G8.15,-1.207562,-1.040018
SPAC6C3.08,-1.235802,-1.043676
SPAC589.09,-1.240729,-1.060117
SPAC56E4.07,-1.180642,-1.100748
SPAC12B10.08c,-1.196756,-1.102687
SPBC8D2.05c,-1.211244,-1.091941
SPAC15E1.08,-1.220147,-1.098125
SPAC1486.08,-1.239164,-1.114674
SPAC2F7.04,-1.233916,-1.018286
SPAC806.08c,-1.234857,-0.994314
SPAC1B2.06,-1.275297,-0.979923
SPAC3H1.01c,-1.277385,-0.975559
SPCC1919.08c,-1.042576,-1.244462
SPAC3A12.07,-1.055292,-1.236592
SPBC3B9.03,-1.051644,-1.26743
SPBC14C8.15,-1.063158,-1.302655
SPBC16E9.09c,-1.077721,-1.287269
SPCC16C4.20c,-1.099657,-1.280214
SPBC30D10.16,-1.065279,-1.204527
SPAC16E8.18c,-1.079338,-1.205972
SPAC17A5.08,-1.090583,-1.236816
SPAC23H4.12,-1.102026,-1.215435
SPAC3G9.15c,-1.110015,-1.204392
SPCC188.02,-1.147758,-1.242581
SPAC26F1.07,-1.166864,-1.228028
SPBC1778.07,-1.13158,-1.29428
SPAC3H5.10,-1.15579,-1.294589
SPBC26H8.07c,-1.142043,-1.270109
SPAC19D5.02c,-1.153386,-1.270149
SPAC31A2.06,-1.158005,-1.278076
SPBC17A3.07,-1.168145,-1.280347
SPBC2G5.07c,-1.180255,-1.279117
SPAC30C2.07,-1.184154,-1.299912
SPAC4F10.19c,-1.110826,-1.141299
SPBP16F5.02,-1.119426,-1.136876
SPAC12B10.11,-1.122903,-1.136603
SPCC1620.11,-1.122631,-1.131468
SPBC18H10.11c,-1.146798,-1.154785
SPBC18E5.01,-1.133291,-1.185946
SPAC3C7.01c,-1.141085,-1.197604
SPCC16C4.12,-1.171158,-1.169125
SPBP19A11.01,-1.176376,-1.190565
SPAC15F9.03c,-1.188742,-1.185353
SPBC713.10,-1.208796,-1.190969
SPAC4D7.10c,-1.216803,-1.156627
SPAP8A3.08,-1.224514,-1.151659
SPAC2F7.14c,-1.26434,-1.115391
SPCC16A11.06c,-1.27754,-1.105291
SPAC23A1.03,-1.300198,-1.155914
SPAC10F6.14c,-1.310493,-1.144656
SPAC212.07c,-1.211995,-1.247347
SPAC688.16,-1.265055,-1.263192
SPAC2C4.04c,-1.233956,-1.316309
SPBC2G2.15c,-1.29141,-1.306809
SPBC8D2.14c,-1.291549,-1.311348
SPAC4H3.16,-1.297846,-1.31312
SPBC21D10.08c,-1.297951,-1.314694
SPAC926.07c,-1.309582,-1.216735
SPAC23H4.07c,-1.299469,-1.253956
SPBC337.09,-1.328828,-1.255553
SPAC31G5.04,-1.004703,-0.835079
SPCC330.14c,-1.0069,-0.851975
SPAC23H4.08,-1.022199,-0.806985
SPBC19C7.01,-1.030566,-0.806871
SPCC126.08c,-1.013483,-0.786809
SPBP8B7.14c,-1.015758,-0.770689
SPBC28F2.11,-1.020168,-0.763289
SPAC1782.12c,-1.025915,-0.744158
SPAC22F3.15,-1.076773,-0.762058
SPAC25B8.16,-1.083025,-0.770286
SPBC1709.04c,-1.001542,-0.659383
SPAC22A12.13,-1.003272,-0.657473
SPAC4G9.17c,-1.043536,-0.707966
SPBC3F6.03,-1.046023,-0.702595
SPCC4B3.17,-1.047675,-0.697736
SPBC11B10.04c,-1.079948,-0.686328
SPAC4F10.04,-1.085056,-0.708422
SPBC1734.15,-1.105894,-0.716418
SPAC15A10.07,-1.123166,-0.660599
SPBC27B12.06,-1.008882,-0.607779
SPBC428.16c,-1.021399,-0.583201
SPAC4A8.09c,-1.047593,-0.56023
SPAC3A12.09c,-1.052533,-0.539748
SPBC21B10.08c,-1.080949,-0.565078
SPAC12G12.05c,-1.096597,-0.541745
SPBC887.10,-1.071259,-0.617301
SPAC4H3.09,-1.081684,-0.612734
SPBC1604.17c,-1.10395,-0.611867
SPBP16F5.08c,-1.11917,-0.797899
SPCC24B10.20,-1.114423,-0.778795
SPCC1494.02c,-1.121682,-0.778359
SPAC1952.05,-1.119937,-0.759312
SPAC222.18,-1.164265,-0.768376
SPBC4B4.05,-1.140972,-0.845085
SPCC338.04,-1.146815,-0.805454
SPAC1142.05,-1.154283,-0.807462
SPBC1D7.04,-1.182715,-0.817168
SPAC57A10.03,-1.236474,-0.727897
SPCC338.16,-1.246477,-0.756803
SPBC725.04,-1.236385,-0.802003
SPBC17A3.10,-1.260918,-0.822066
SPCC63.12c,-1.282471,-0.79428
SPBC887.13c,-1.161748,-0.683678
SPCC2H8.05c,-1.185534,-0.692611
SPBC839.09c,-1.205314,-0.695209
SPCC1682.05c,-1.22059,-0.683248
SPAC10F6.17c,-1.224245,-0.622661
SPBC21B10.06c,-1.26929,-0.649343
SPAC688.02c,-1.271525,-0.645624
SPBC1683.03c,-1.288574,-0.719137
SPCC622.01c,-1.2992,-0.722136
SPBC887.08,-1.332813,-0.745874
SPAC1006.02,-1.324554,-0.651239
SPBC3B9.18c,-1.328205,-0.67914
SPBC215.09c,-1.206151,-0.8285
SPAC29A4.05,-1.224336,-0.833916
SPBC543.08,-1.209624,-0.872279
SPBC2A9.11c,-1.234758,-0.879138
SPAC19B12.07c,-1.248955,-0.890871
SPBC2D10.13,-1.25005,-0.919856
SPCC191.08,-1.257922,-0.932043
SPBC146.08c,-1.274345,-0.923652
SPBC30D10.11,-1.288269,-0.926795
SPAC3G6.11,-1.305308,-0.902881
SPAC4G9.07,-1.334737,-0.891118
SPAC27F1.04c,-1.332483,-0.922127
SPBC16D10.07c,-1.337566,-0.921385
SPAC3G9.04,-1.366068,-0.870634
SPCC126.01c,-1.372465,-0.843777
SPCC1235.07,-1.406708,-0.847271
SPBC3E7.09,-1.422848,-0.819611
SPAC2C4.10c,-1.378719,-0.720731
SPCC320.12,-1.435735,-0.709764
SPCC285.17,-1.402354,-0.76821
SPCC4G3.11,-1.453245,-0.772339
SPAC24C9.03,-1.032155,-1.386623
SPBC1734.12c,-1.059258,-1.383183
SPAC30D11.05,-1.066941,-1.361776
SPAC3H8.10,-1.068083,-1.357068
SPBC24C6.04,-1.058431,-1.342123
SPBP16F5.05c,-1.078727,-1.341113
SPAC664.01c,-1.030697,-1.442203
SPAP4C9.02,-1.035391,-1.421383
SPBC1773.07c,-1.077331,-1.453939
SPBC27B12.02,-1.106011,-1.431759
SPBC3F6.02c,-1.173216,-1.337285
