Gene,FC_2d,p.adj_2d,FC_21d,p.adj_21d,,,,,,
SPAC19B12.06c,-1.742516679,3.02E-23,-2.298990689,3.99E-45,,,,,,
SPAC19B12.07c,-1.248955105,8.65E-10,-0.890870846,1.57E-06,,,,,,
SPAC19B12.08,2.419537794,1.52E-51,3.072588494,3.94E-121,,,,,,
SPAC19B12.10,0.856951209,2.29E-05,1.616527999,5.46E-22,,,,,,
SPAC19D5.01,3.132253665,1.94E-25,2.632819105,1.38E-06,,,,,,
SPAC19D5.02c,-1.153386034,0.000108208,-1.270148734,7.03E-09,,,,,,
SPAC19D5.04,2.227013639,2.92E-52,2.287613996,1.33E-102,,,,,,
SPAC19D5.06c,-1.991595705,8.20E-19,-1.785432611,1.73E-20,,,,,,
SPAC19D5.10c,-2.024761859,0.049537897,-1.846876982,0.092165986,,,,,,
SPAC19E9.03,1.763731301,5.14E-15,1.515112496,2.06E-25,,,,,,
SPAC19G12.05,-0.579471593,0.001857891,-1.400380578,6.06E-24,,,,,,
SPAC19G12.07c,1.533950947,1.25E-21,1.760858296,1.24E-58,,,,,,
SPAC19G12.09,1.629377622,1.42E-35,1.64130724,3.12E-53,,,,,,
SPAC19G12.10c,2.746246626,3.00E-29,2.366227512,9.64E-151,,,,,,
SPAC19G12.11,-0.978824158,2.52E-07,-1.265951929,2.86E-14,,,,,,
SPAC19G12.14,1.653686903,1.18E-24,1.681582407,1.05E-39,,,,,,
SPAC19G12.16c,-1.337042845,9.87E-25,-1.529985414,4.78E-52,,,,,,
SPAC1A6.04c,2.618617825,9.70E-46,2.688639868,9.76E-63,,,,,,
SPAC1A6.05c,-0.429731735,0.012630136,-1.102212279,6.52E-10,,,,,,
SPAC1A6.10,-0.561191216,0.008790153,-1.02758664,3.39E-16,,,,,,
SPAC1A6.11,0.703894309,0.261902692,2.15313542,3.65E-06,,,,,,
SPAC1B2.03c,3.207625239,2.37E-71,2.2951085,2.87E-72,,,,,,
SPAC1B2.06,-1.275297178,0.052508898,-0.979922949,0.140967279,,,,,,
SPAC1B3.01c,0.860867135,0.031103186,1.421694962,4.96E-05,,,,,,
SPAC1B3.02c,-1.981944303,4.09E-31,-1.982216286,1.83E-37,,,,,,
SPAC1B3.09c,-0.707746636,2.17E-05,-1.19220202,1.28E-18,,,,,,
SPAC1B3.14,-1.63102099,2.59E-27,-1.41535401,7.04E-24,,,,,,
SPAC1B3.15c,1.124004365,2.68E-11,1.786696794,4.66E-29,,,,,,
SPAC1B3.17,-1.624088224,1.36E-18,-0.747612836,9.92E-07,,,,,,
SPAC1D4.05c,0.227124611,0.255315869,1.073660656,1.48E-09,,,,,,
SPAC1D4.06c,-1.090382286,2.66E-06,-0.888811577,8.19E-05,,,,,,
SPAC1D4.11c,1.55362185,4.04E-32,2.216645005,2.25E-27,,,,,,
SPAC1F12.04c,-2.108256061,3.98E-19,-1.563170304,7.30E-14,,,,,,
SPAC1F12.05,1.09144075,0.001925342,1.723092487,8.19E-09,,,,,,
SPAC1F12.07,-1.335639493,6.72E-25,-1.44451075,3.49E-27,,,,,,
SPAC1F12.08,-1.63026873,0.131087218,-2.949601153,0.02387636,,,,,,
SPAC1F3.01,-0.660653964,1.47E-06,-1.133812486,7.11E-21,,,,,,
SPAC1F3.02c,1.551799967,5.15E-29,1.33366196,8.99E-31,,,,,,
SPAC1F3.03,1.377582949,2.34E-19,1.623730181,1.01E-25,,,,,,
SPAC1F3.07c,-1.735383063,6.82E-19,-0.819004194,9.41E-06,,,,,,
SPAC1F5.04c,1.436176669,1.78E-28,1.525824497,1.64E-46,,,,,,
SPAC1F5.05c,-1.092023692,1.96E-06,-0.480226974,0.017875146,,,,,,
SPAC1F5.11c,2.399197947,6.14E-68,2.309320013,2.90E-77,,,,,,
SPAC1F7.03,2.074145448,2.63E-57,1.56951622,1.62E-46,,,,,,
SPAC1F7.07c,2.463385715,1.24E-37,2.571562146,2.28E-142,,,,,,
SPAC1F7.08,2.931984418,3.33E-70,2.860011262,1.19E-96,,,,,,
SPAC1F7.09c,1.433763745,2.85E-22,1.983227851,5.53E-59,,,,,,
SPAC1F7.11c,1.202017676,5.29E-17,1.564017245,9.05E-48,,,,,,
SPAC1F7.12,0.4751102,0.001600723,1.190991624,2.89E-29,,,,,,
SPAC1F7.14c,-1.543264126,0.016898541,-0.026554609,0.965957276,,,,,,
SPAC1F8.01,0.54211305,0.297527458,3.908465284,1.32E-42,,,,,,
SPAC1F8.02c,1.507472762,0.24474437,5.576160408,5.58E-12,,,,,,
SPAC1F8.03c,-2.381992565,2.36E-13,-0.542574547,0.036039357,,,,,,
SPAC1F8.05,-2.007773313,0.016498168,0.119472551,0.863641994,,,,,,
SPAC1F8.06,-2.10501056,0.096134578,-1.347962848,0.323408883,,,,,,
SPAC1F8.08,0.447280789,0.180125099,1.358203674,2.01E-07,,,,,,
SPAC20G4.01,-1.653231921,3.15E-17,-1.677740818,3.69E-21,,,,,,
SPAC20G4.04c,-2.24635539,0.045799056,-1.191964263,0.27323329,,,,,,
SPAC20G4.06c,-1.905547199,1.31E-33,-1.813607315,7.76E-47,,,,,,
SPAC20G4.07c,-1.795415563,9.93E-31,-1.707247976,7.02E-34,,,,,,
SPAC20G8.05c,1.496617108,2.12E-20,1.057348583,1.54E-19,,,,,,
SPAC20G8.06,1.199723697,1.74E-22,1.025351946,3.46E-26,,,,,,
SPAC20G8.09c,-0.059877661,0.748634144,-1.023352866,1.39E-19,,,,,,
SPAC20G8.10c,0.714925568,0.001842399,1.579103042,1.31E-13,,,,,,
SPAC20H4.01,-0.691630651,0.003289013,-1.751423286,5.68E-10,,,,,,
SPAC20H4.03c,-0.809629541,1.35E-06,-1.121265923,1.89E-12,,,,,,
SPAC20H4.07,-1.124468694,0.131178014,-0.964634814,0.143474018,,,,,,
SPAC20H4.08,-1.613056942,0.214613549,-1.656010611,0.255033313,,,,,,
SPAC20H4.11c,2.347083052,7.90E-37,2.784942334,1.04E-67,,,,,,
SPAC212.04c,-1.552281779,0.056460952,0.363894912,0.566159887,,,,,,
SPAC212.06c,-1.687253536,0.192466197,2.206883643,0.004594585,,,,,,
SPAC212.07c,-1.21199501,0.33913351,-1.247347192,0.374757864,,,,,,
SPAC212.08c,-1.77176996,0.16952104,-1.806452169,0.207215984,,,,,,
SPAC212.12,-2.325131602,0.061442584,-2.386175055,0.079957891,,,,,,
SPAC21E11.03c,1.839241319,1.59E-26,1.890743886,5.77E-34,,,,,,
SPAC21E11.06,-0.571078905,9.23E-05,-1.368835429,1.09E-23,,,,,,
SPAC222.03c,-1.574983471,2.56E-09,-1.572328752,2.51E-09,,,,,,
SPAC222.04c,-2.536049246,6.30E-18,-2.025256428,2.48E-14,,,,,,
SPAC222.05c,-0.989312653,0.114435185,-1.818255412,0.004747734,,,,,,
SPAC222.09,1.683990605,7.92E-14,1.808507613,4.18E-84,,,,,,
